,Address,Price,City,Bedrooms,Living-Area,Total-Bathrooms,Home-Type,Distance,Duration
105,"870 Emerald Hills Cir, Fairfield, CA 94533",570000,Fairfield,3,1958.0,2, Single Family,60.7,1 hour 0 mins
106,"4279 Valley Ln, Fairfield, CA 94534",2599000,Fairfield,4,5115.0,4, Single Family,53.4,53 mins
107,"104 Roseburg Way, Fairfield, CA 94534",390000,Fairfield,3,1240.0,3, Condo,57.8,55 mins
108,"1698 River Oaks Cir, Fairfield, CA 94533",685000,Fairfield,4,3408.0,3, Single Family,60.7,1 hour 0 mins
109,"10 Alhambra Ct, Antioch, CA 94509",575000,Antioch,3,2030.0,3, Single Family,56.8,56 mins
110,"2958 Winding Ln 86, Antioch, CA 94531",269900,Antioch,2,871.0,2, Condo,57.8,58 mins
111,"1816 Crater Peak Way, Antioch, CA 94531",440000,Antioch,3,1267.0,3, Single Family,57.2,58 mins
112,"2817 Winding Ln, Antioch, CA 94531",305000,Antioch,3,1061.0,2, Condo,57.7,58 mins
113,"1415 Sweetwood Dr, Daly City, CA 94015",899000,Daly City,2,1030.0,1, Single Family,8.0,10 mins
114,"1551 Southgate Ave APT 157, Daly City, CA 94015",515808,Daly City,1,813.0,1, Condo,7.8,9 mins
115,"1551 Southgate Ave APT 358, Daly City, CA 94015",669500,Daly City,2,1029.0,2, Condo,7.8,9 mins
116,"291 County Street B, Daly City, CA 94014",849000,Daly City,3,1600.0,2, Condo,8.2,11 mins
117,"55 W 20th Ave APT 202, San Mateo, CA 94403",899000,San Mateo,2,1234.0,2, Condo,8.2,9 mins
118,"938 Peninsula Ave, San Mateo, CA 94401",898000,San Mateo,2,1152.0,2, Townhouse,4.4,6 mins
119,"1311 Wayne Way, San Mateo, CA 94403",1299000,San Mateo,2,1540.0,3, Townhouse,8.7,11 mins
120,"3385 La Selva St APT C, San Mateo, CA 94403",745000,San Mateo,3,905.0,2, Condo,8.3,10 mins
121,"1253 Shoal Dr, San Mateo, CA 94404",1695000,San Mateo,3,1690.0,3, Single Family,7.9,11 mins
122,"804 Bermuda Dr, San Mateo, CA 94403",1398000,San Mateo,4,1820.0,3, Single Family,7.5,8 mins
123,"330 Torrey Pines Ct, Vacaville, CA 95687",459000,Vacaville,3,1597.0,3, Single Family,66.1,1 hour 6 mins
