,Address,City,ZipCode,State,Bedrooms,Price,Listing-Company,HOA,Zestimate,Link,Living-Area,Total-Bathrooms,Garage-Spaces,Home-Type,Year-Built,Utilities,Sunscore,Annual-Tax,Tax-Value
191,"1421 Poppy Ln, Hayward, CA 94545",Hayward,94545,CA,3,829000,"ALTA REALTY GROUP CA, INC.",229.0,856796,https://www.zillow.com/homedetails/1421-Poppy-Ln-Hayward-CA-94545/241574911_zpid/,1625.0,3, 2, Single Family,2017,Unknown,86.7,10072.0,792540.0
192,"2028 Oak Creek Pl, Hayward, CA 94541",Hayward,94541,CA,2,549950,FOHL AND HERNANDEZ RE,423.0,565948,https://www.zillow.com/homedetails/2028-Oak-Creek-Pl-Hayward-CA-94541/24971144_zpid/,1542.0,3, 2, Townhouse,1972,Unknown,93.14,4554.0,318264.0
196,"1140 Walpert St, Hayward, CA 94541",Hayward,94541,CA,3,679000,GOLDEN GATE SOTHEBYS INTERNATIONAL REALTY,505.0,683797,https://www.zillow.com/homedetails/1140-Walpert-St-Hayward-CA-94541/24981962_zpid/,1856.0,3, 2, Townhouse,1985,Unknown,93.14,7320.0,405678.0
199,"25850 Kay Ave APT 128, Hayward, CA 94545",Hayward,94545,CA,2,475000,INTERO REAL ESTATE SERVICES,455.0,486183,https://www.zillow.com/homedetails/25850-Kay-Ave-APT-128-Hayward-CA-94545/24979340_zpid/,1007.0,2, 1, Condo,1989,Unknown,94.74,4658.0,350490.0
201,"29628 Desert Oak Ct APT 33, Hayward, CA 94544",Hayward,94544,CA,1,319999,UNITED R.E.- LOS ANGELES,364.0,324373,https://www.zillow.com/homedetails/29628-Desert-Oak-Ct-APT-33-Hayward-CA-94544/24887700_zpid/,531.0,1, 1, Condo,1985,Unknown,85.1,4209.0,321300.0
205,"28574 Starboard Ln, Hayward, CA 94545",Hayward,94545,CA,4,890000,FLAT RATE REALTY,202.0,915958,https://www.zillow.com/homedetails/28574-Starboard-Ln-Hayward-CA-94545/82839373_zpid/,1835.0,3, 2, Single Family,2007,Unknown,90.74,11607.0,808554.0
206,"27471 Ponderosa Ct, Hayward, CA 94545",Hayward,94545,CA,3,626000,GOLDEN STATE REALTY,268.0,578903,https://www.zillow.com/homedetails/27471-Ponderosa-Ct-Hayward-CA-94545/24989104_zpid/,1220.0,2,0, Townhouse,1970,Unknown,90.74,2689.0,187660.0
208,"24 Trestle Dr, Hayward, CA 94544",Hayward,94544,CA,1,399500,RE/MAX,200.0,407550,https://www.zillow.com/homedetails/24-Trestle-Dr-Hayward-CA-94544/24980126_zpid/,870.0,1, 1, Condo,1991,Unknown,93.9,3626.0,263735.0
210,"3715 Oakes Dr, Hayward, CA 94542",Hayward,94542,CA,3,1199888,BISHOP & ASSOC. RE SALES,31.0,1260217,https://www.zillow.com/homedetails/3715-Oakes-Dr-Hayward-CA-94542/24969617_zpid/,2372.0,3, 2, Single Family,1967,Unknown,95.14,5932.0,457082.0
215,"22797 Filbert St, Hayward, CA 94541",Hayward,94541,CA,4,799995,RED OAK REALTY,216.0,822166,https://www.zillow.com/homedetails/22797-Filbert-St-Hayward-CA-94541/241574767_zpid/,1716.0,4, 2, Townhouse,2017,Unknown,92.34,9216.0,664814.0
220,"612 Santa Cruz Ter, Sunnyvale, CA 94085",Sunnyvale,94085,CA,3,1498000,COMPASS,58.0,1562578,https://www.zillow.com/homedetails/612-Santa-Cruz-Ter-Sunnyvale-CA-94085/19542319_zpid/,1468.0,3, 2, Single Family,1999, Public Utilities,90.03,10960.0,931041.0
221,"755 Seneca Ter, Sunnyvale, CA 94087",Sunnyvale,94087,CA,3,1438000,COMPASS,100.0,1472285,https://www.zillow.com/homedetails/755-Seneca-Ter-Sunnyvale-CA-94087/69301498_zpid/,1564.0,4, 2, Townhouse,2006, Public Utilities,89.15,12478.0,1059072.0
223,"1088 Ed Roth Ter, Sunnyvale, CA 94086",Sunnyvale,94086,CA,4,1749000,INTERO REAL ESTATE SERVICES,128.0,1773254,https://www.zillow.com/homedetails/1088-Ed-Roth-Ter-Sunnyvale-CA-94086/244222822_zpid/,1826.0,3, 2, Single Family,2017, Public Utilities,87.41,19831.0,1632000.0
228,"448 Costa Mesa Ter APT C, Sunnyvale, CA 94085",Sunnyvale,94085,CA,2,788800,BAY ONE REALTY,399.0,783839,https://www.zillow.com/homedetails/448-Costa-Mesa-Ter-APT-C-Sunnyvale-CA-94085/19521914_zpid/,880.0,1, 2, Condo,1985, Public Utilities,93.23,5195.0,423078.0
229,"1078 Doheny Ter, Sunnyvale, CA 94085",Sunnyvale,94085,CA,4,1449000,COMPASS,250.0,1477091,https://www.zillow.com/homedetails/1078-Doheny-Ter-Sunnyvale-CA-94085/121043044_zpid/,1947.0,4, 2, Townhouse,2012, Public Utilities,94.86,11258.0,925877.0
233,"903 Sunrose Ter APT 111, Sunnyvale, CA 94086",Sunnyvale,94086,CA,2,799500,REALTY WORLD,506.0,834796,https://www.zillow.com/homedetails/903-Sunrose-Ter-APT-111-Sunnyvale-CA-94086/19551453_zpid/,1086.0,2,0, Condo,1994," Individual Electric Meters, Public Utilities",94.83,3567.0,289470.0
234,"202 Peppermint Tree Ter UNIT 2, Sunnyvale, CA 94086",Sunnyvale,94086,CA,2,1099000,COMPASS,240.0,1121270,https://www.zillow.com/homedetails/202-Peppermint-Tree-Ter-UNIT-2-Sunnyvale-CA-94086/89475155_zpid/,1251.0,3, 2, Townhouse,2010, Public Utilities,92.43,10793.0,880105.0
235,"1120 Karby Ter UNIT 102, Sunnyvale, CA 94089",Sunnyvale,94089,CA,2,949000,COMPASS,482.0,1007084,https://www.zillow.com/homedetails/1120-Karby-Ter-UNIT-102-Sunnyvale-CA-94089/124742459_zpid/,1007.0,2, 1, Townhouse,2014, Public Utilities,94.78,10559.0,879740.0
236,"574 Leyte Ter, Sunnyvale, CA 94089",Sunnyvale,94089,CA,3,1349000,COMPASS,250.0,1382721,https://www.zillow.com/homedetails/574-Leyte-Ter-Sunnyvale-CA-94089/64445596_zpid/,1600.0,3, 2, Townhouse,2004, Public Utilities,90.78,10637.0,886432.0
237,"831 W California Ave UNIT R, Sunnyvale, CA 94086",Sunnyvale,94086,CA,2,699800,COMPASS,394.0,706679,https://www.zillow.com/homedetails/831-W-California-Ave-UNIT-R-Sunnyvale-CA-94086/19521848_zpid/,760.0,2, 1, Condo,1983, Public Utilities,86.83,7854.0,649458.0
244,"989 Asilomar Ter APT 6, Sunnyvale, CA 94086",Sunnyvale,94086,CA,3,1399000,COMPASS,45.0,1524171,https://www.zillow.com/homedetails/989-Asilomar-Ter-APT-6-Sunnyvale-CA-94086/19521282_zpid/,1895.0,2, 2, Townhouse,1991, Public Utilities,94.83,8780.0,728357.0
276,"1212 Oak Knoll Dr, Concord, CA 94521",Concord,94521,CA,5,1065000,RE/MAX,189.0,1065007,https://www.zillow.com/homedetails/1212-Oak-Knoll-Dr-Concord-CA-94521/68034339_zpid/,2923.0,3, 3, Single Family,2003,Unknown,80.29,10373.0,846161.0
279,"952 Autumn Oak Cir, Concord, CA 94521",Concord,94521,CA,5,1150000,BAY METROPOLITAN,85.0,1154024,https://www.zillow.com/homedetails/952-Autumn-Oak-Cir-Concord-CA-94521/18362243_zpid/,3168.0,4, 3, Single Family,2000,Unknown,72.29,11317.0,936249.0
280,"4336 Saint Charles Pl, Concord, CA 94521",Concord,94521,CA,3,499900,KELLER WILLIAMS,125.0,506409,https://www.zillow.com/homedetails/4336-Saint-Charles-Pl-Concord-CA-94521/18373910_zpid/,1182.0,2, 1, Townhouse,1980,Unknown,80.25,4710.0,354899.0
282,"5455 Kirkwood Dr APT B8, Concord, CA 94521",Concord,94521,CA,1,275000,RICK FULLER INC.,375.0,285330,https://www.zillow.com/homedetails/5455-Kirkwood-Dr-APT-B8-Concord-CA-94521/18355833_zpid/,696.0,1,0, Condo,1980,Unknown,74.69,3711.0,259038.0
283,"825 Oak Grove Rd APT 98, Concord, CA 94518",Concord,94518,CA,3,499000,GOLDEN GATE SOTHEBY'S RE,465.0,521103,https://www.zillow.com/homedetails/825-Oak-Grove-Rd-APT-98-Concord-CA-94518/18385062_zpid/,1447.0,2,0, Condo,1970,Unknown,85.65,2572.0,158487.0
291,"3309 Benton St, Santa Clara, CA 95051",Santa Clara,95051,CA,3,1150000,TUSCANA PROPERTIES,520.0,1171726,https://www.zillow.com/homedetails/3309-Benton-St-Santa-Clara-CA-95051/19596548_zpid/,1325.0,2, 1, Condo,1963, Public Utilities,90.06,3376.0,278044.0
295,"2980 Salem Dr, Santa Clara, CA 95051",Santa Clara,95051,CA,3,1124888,COMPASS,320.0,1157027,https://www.zillow.com/homedetails/2980-Salem-Dr-Santa-Clara-CA-95051/19598972_zpid/,1630.0,3, 2, Townhouse,1974, Public Utilities,94.86,7841.0,647998.0
296,"3033 Kaiser Dr UNIT H, Santa Clara, CA 95051",Santa Clara,95051,CA,1,495000,COLDWELL BANKER,495.0,503389,https://www.zillow.com/homedetails/3033-Kaiser-Dr-UNIT-H-Santa-Clara-CA-95051/19596951_zpid/,680.0,1, 1, Condo,1971, Master Meter,89.26,2127.0,174608.0
299,"2380 Homestead Rd UNIT 3103, Santa Clara, CA 95050",Santa Clara,95050,CA,1,499000,SELA HOMES,382.0,499004,https://www.zillow.com/homedetails/2380-Homestead-Rd-UNIT-3103-Santa-Clara-CA-95050/82950285_zpid/,624.0,1, 1, Condo,2007, Public Utilities,92.46,3279.0,270000.0
301,"4942 Calle De Escuela, Santa Clara, CA 95054",Santa Clara,95054,CA,2,699800,8 BLOCKS REAL ESTATE,377.0,710957,https://www.zillow.com/homedetails/4942-Calle-De-Escuela-Santa-Clara-CA-95054/19488445_zpid/,1108.0,2,0, Townhouse,1978, Public Utilities,79.56,5339.0,433019.0
303,"1903 Miraplaza Ct APT 16, Santa Clara, CA 95051",Santa Clara,95051,CA,2,799950,RE/MAX,430.0,810963,https://www.zillow.com/homedetails/1903-Miraplaza-Ct-APT-16-Santa-Clara-CA-95051/19550820_zpid/,1041.0,2, 2, Condo,1986,Unknown,89.26,2732.0,217720.0
