,Address,City,ZipCode,State,Bedrooms,Price,Listing-Company,HOA,Zestimate,Link,Living-Area,Total-Bathrooms,Garage-Spaces,Home-Type,Year-Built,Utilities,Sunscore,Annual-Tax,Tax-Value
1545,"1231 Terra Nova Blvd, Pacifica, CA 94044",Pacifica,94044,CA,2,720000,RE/MAX,350.0,733213,https://www.zillow.com/homedetails/1231-Terra-Nova-Blvd-Pacifica-CA-94044/15508375_zpid/,960.0,2, 1, Townhouse,1970, Public Utilities,94.34,8884.0,673200.0
1550,"1232 Terra Nova Blvd, Pacifica, CA 94044",Pacifica,94044,CA,2,724888,RE/MAX,350.0,740371,https://www.zillow.com/homedetails/1232-Terra-Nova-Blvd-Pacifica-CA-94044/15504499_zpid/,960.0,2, 0, Townhouse,1970, Public Utilities,86.34,8703.0,655452.0
1563,"5001 Palmetto Ave APT 73, Pacifica, CA 94044",Pacifica,94044,CA,2,730000,ECCLESTON INCORPORATED,753.0,746829,https://www.zillow.com/homedetails/5001-Palmetto-Ave-APT-73-Pacifica-CA-94044/15639286_zpid/,1200.0,2, 2, Condo,1973,Unknown,73.52,6966.0,503137.0
1567,"1109 Oddstad Blvd, Pacifica, CA 94044",Pacifica,94044,CA,2,688000,MATRIXONE REALTY,375.0,691132,https://www.zillow.com/homedetails/1109-Oddstad-Blvd-Pacifica-CA-94044/15504665_zpid/,940.0,2, 0, Townhouse,1973, Public Utilities,79.14,3361.0,196359.0
1572,"278 El Dorado Dr, Pacifica, CA 94044",Pacifica,94044,CA,5,1189999,RE/MAX,2.0,1253753,https://www.zillow.com/homedetails/278-El-Dorado-Dr-Pacifica-CA-94044/15477005_zpid/,1550.0,2, 2, Single Family,1963, All Public,94.32,13456.0,1025000.0
1579,"504 Berrellesa St, Martinez, CA 94553",Martinez,94553,CA,2,469000,REDFIN,210.0,475000,https://www.zillow.com/homedetails/504-Berrellesa-St-Martinez-CA-94553/82863534_zpid/,1080.0,3, 1, Townhouse,2007,Unknown,94.53,5676.0,424482.0
1581,"1406 Ashwood Dr, Martinez, CA 94553",Martinez,94553,CA,2,499000,THE HANLEY TEAM,455.0,491084,https://www.zillow.com/homedetails/1406-Ashwood-Dr-Martinez-CA-94553/18396709_zpid/,1312.0,3, 2, Townhouse,1977,Unknown,92.15,3332.0,227400.0
1584,"1551 Ashwood Dr, Martinez, CA 94553",Martinez,94553,CA,3,499000,COMPASS,455.0,502278,https://www.zillow.com/homedetails/1551-Ashwood-Dr-Martinez-CA-94553/18396833_zpid/,1396.0,3, 0, Townhouse,1976, Public Utilities,88.17,1796.0,106612.0
1585,"91 Fountainhead Ct, Martinez, CA 94553",Martinez,94553,CA,4,629000,GOLDEN GATE SOTHEBY'S RE,459.0,621938,https://www.zillow.com/homedetails/91-Fountainhead-Ct-Martinez-CA-94553/18396650_zpid/,1740.0,3, 2, Townhouse,1976,Unknown,81.77,6410.0,502000.0
1588,"110 Chatham Ct, Pacheco, CA 94553",Pacheco,94553,CA,1,290000,RE/MAX,421.0,296005,https://www.zillow.com/homedetails/110-Chatham-Ct-Pacheco-CA-94553/18363444_zpid/,728.0,1, 0, Condo,1986,Unknown,94.57,2152.0,132733.0
1595,"105 Via Cabrera Ln, Martinez, CA 94553",Martinez,94553,CA,3,549950,COUNTRY ESTATES INC,425.0,535016,https://www.zillow.com/homedetails/105-Via-Cabrera-Ln-Martinez-CA-94553/18492206_zpid/,1452.0,3, 0, Single Family,1981,Unknown,92.95,3302.0,219358.0
1596,"225 Southpark Ct, Martinez, CA 94553",Martinez,94553,CA,3,675000,BAY HOME INVESTMENTS&LOANS,209.0,675006,https://www.zillow.com/homedetails/225-Southpark-Ct-Martinez-CA-94553/124727782_zpid/,1581.0,3, 2, Single Family,2015,Unknown,92.93,7919.0,622200.0
1599,"180 Valley Glen Ln, Martinez, CA 94553",Martinez,94553,CA,5,1115000,J ROCKCLIFF REALTORS.,93.0,1123702,https://www.zillow.com/homedetails/180-Valley-Glen-Ln-Martinez-CA-94553/18402954_zpid/,2871.0,3, 3, Single Family,1991,Unknown,84.95,10623.0,860000.0
1604,"429 Thistle Cir, Martinez, CA 94553",Martinez,94553,CA,3,619900,TURNBLOOM & ASSOCIATES,270.0,620761,https://www.zillow.com/homedetails/429-Thistle-Cir-Martinez-CA-94553/18394609_zpid/,1430.0,3, 2, Townhouse,1977,Unknown,92.15,4446.0,323995.0
1610,"1464 Ashwood Dr, Martinez, CA 94553",Martinez,94553,CA,3,515000,BERKSHIRE HATHAWAY,455.0,520711,https://www.zillow.com/homedetails/1464-Ashwood-Dr-Martinez-CA-94553/18396729_zpid/,1338.0,2, 0, Condo,1972,Unknown,93.75,3833.0,283814.0
1613,"2402 Farmington Ct, Martinez, CA 94553",Martinez,94553,CA,4,775900,HELP-U-SELL GOLDEN HOMES,41.0,724185,https://www.zillow.com/homedetails/2402-Farmington-Ct-Martinez-CA-94553/87791794_zpid/,1917.0,3, 2, Single Family,1988,Unknown,81.77,4570.0,334314.0
1614,"109 Fig Tree Ln, Martinez, CA 94553",Martinez,94553,CA,2,485000,BERKSHIRE HATHAWAY,411.0,530481,https://www.zillow.com/homedetails/109-Fig-Tree-Ln-Martinez-CA-94553/18399922_zpid/,1262.0,3, 1, Townhouse,1990,Unknown,93.77,4678.0,355504.0
1620,"1925 Santa Fe St, Oakley, CA 94561",Oakley,94561,CA,3,445900,KELLER WILLIAMS,27.0,458322,https://www.zillow.com/homedetails/1925-Santa-Fe-St-Oakley-CA-94561/18292796_zpid/,1200.0,2, 2, Single Family,1988,Unknown,84.66,3871.0,253891.0
1623,"708 Maple Ct, Oakley, CA 94561",Oakley,94561,CA,4,640000,NEXTHOME,105.0,646454,https://www.zillow.com/homedetails/708-Maple-Ct-Oakley-CA-94561/95429600_zpid/,2713.0,4, 2, Single Family,2012,Unknown,83.94,8132.0,398769.0
1627,"3991 Oak Grove Dr, Oakley, CA 94561",Oakley,94561,CA,3,560000,COLDWELL BANKER,10.0,565191,https://www.zillow.com/homedetails/3991-Oak-Grove-Dr-Oakley-CA-94561/18288917_zpid/,1707.0,3, 3, Single Family,1991,Unknown,80.74,6824.0,520000.0
1633,"605 Allagash Ct, Oakley, CA 94561",Oakley,94561,CA,5,599900,"I HEART REAL ESTATE, INC.",102.0,599959,https://www.zillow.com/homedetails/605-Allagash-Ct-Oakley-CA-94561/95410206_zpid/,2603.0,4, 0, Single Family,2012, Public Utilities,86.34,7972.0,377642.0
1639,"10 Bud Ct, Pleasant Hill, CA 94523",Pleasant Hill,94523,CA,2,525000,COMPASS,421.0,536931,https://www.zillow.com/homedetails/10-Bud-Ct-Pleasant-Hill-CA-94523/18390957_zpid/,1288.0,2, 1, Condo,1982,Unknown,94.13,3062.0,215406.0
1640,"2180 Geary Rd APT 23, Pleasant Hill, CA 94523",Pleasant Hill,94523,CA,2,398000,KELLER WILLIAMS,427.0,426315,https://www.zillow.com/homedetails/2180-Geary-Rd-APT-23-Pleasant-Hill-CA-94523/18406947_zpid/,868.0,1, 1, Condo,1962,Unknown,73.33,5214.0,397000.0
1642,"606 Miles Ct, Pleasant Hill, CA 94523",Pleasant Hill,94523,CA,3,698000,RE/MAX,400.0,698005,https://www.zillow.com/homedetails/606-Miles-Ct-Pleasant-Hill-CA-94523/18395346_zpid/,1598.0,3, 2, Townhouse,1988,Unknown,89.33,4024.0,290377.0
1645,"18 Matisse Ct, Pleasant Hill, CA 94523",Pleasant Hill,94523,CA,3,719000,REALI,327.0,956591,https://www.zillow.com/homedetails/18-Matisse-Ct-Pleasant-Hill-CA-94523/59399581_zpid/,1676.0,3, 2, Townhouse,2001,Unknown,93.33,8034.0,615500.0
1648,"763 Slater Ave, Pleasant Hill, CA 94523",Pleasant Hill,94523,CA,3,1299000,EAST BAY RESIDENTIAL REALTY,16.0,1356271,https://www.zillow.com/homedetails/763-Slater-Ave-Pleasant-Hill-CA-94523/18401355_zpid/,2230.0,3, 2, Single Family,1958,Unknown,83.73,6234.0,480211.0
1650,"284 Scottsdale Rd, Pleasant Hill, CA 94523",Pleasant Hill,94523,CA,4,619000,COMPASS,435.0,619005,https://www.zillow.com/homedetails/284-Scottsdale-Rd-Pleasant-Hill-CA-94523/18393496_zpid/,1742.0,3, 2, Townhouse,1983,Unknown,94.13,6510.0,506371.0
1659,"848 Camelback Pl, Pleasant Hill, CA 94523",Pleasant Hill,94523,CA,2,435000,COLDWELL BANKER,397.0,446982,https://www.zillow.com/homedetails/848-Camelback-Pl-Pleasant-Hill-CA-94523/18363338_zpid/,968.0,2, 1, Condo,1981,Unknown,80.53,3208.0,215256.0
1660,"24 Heritage Oaks Rd, Pleasant Hill, CA 94523",Pleasant Hill,94523,CA,2,750000,GOLDEN GATE SOTHEBY'S,480.0,750004,https://www.zillow.com/homedetails/24-Heritage-Oaks-Rd-Pleasant-Hill-CA-94523/18395088_zpid/,1999.0,4, 2, Townhouse,1980,Unknown,90.93,8226.0,655452.0
1661,"35 Monte Cresta Ave, Pleasant Hill, CA 94523",Pleasant Hill,94523,CA,2,374950,DUDUM REAL ESTATE GROUP,400.0,377410,https://www.zillow.com/homedetails/35-Monte-Cresta-Ave-Pleasant-Hill-CA-94523/18389778_zpid/,800.0,1, 0, Condo,1978,Unknown,94.93,4018.0,285504.0
1664,"321 Scottsdale Rd, Pleasant Hill, CA 94523",Pleasant Hill,94523,CA,3,475000,KELLER WILLIAMS,403.0,562074,https://www.zillow.com/homedetails/321-Scottsdale-Rd-Pleasant-Hill-CA-94523/18393460_zpid/,1464.0,2, 2, Townhouse,1981,Unknown,81.33,4550.0,328996.0
1665,"385 Camelback Rd, Pleasant Hill, CA 94523",Pleasant Hill,94523,CA,0,354000,BETTER HOMES,393.0,377007,https://www.zillow.com/homedetails/385-Camelback-Rd-Pleasant-Hill-CA-94523/18393270_zpid/,801.0,0, 1, Multiple Occupancy,1973,Unknown,87.41,4337.0,313140.0
1666,"99 Cleaveland Rd APT 34, Pleasant Hill, CA 94523",Pleasant Hill,94523,CA,2,429900,INTERO REAL ESTATE SERVICES,695.0,429781,https://www.zillow.com/homedetails/99-Cleaveland-Rd-APT-34-Pleasant-Hill-CA-94523/18390950_zpid/,1248.0,2, 2, Condo,1981,Unknown,94.13,5116.0,380945.0
1667,"68 Matisse Ct, Pleasant Hill, CA 94523",Pleasant Hill,94523,CA,3,699000,COMPASS,327.0,699877,https://www.zillow.com/homedetails/68-Matisse-Ct-Pleasant-Hill-CA-94523/58579547_zpid/,1676.0,3, 0, Townhouse,2001, Public Utilities,94.13,6582.0,496475.0
1668,"99 Cleaveland Rd, Pleasant Hill, CA 94523",Pleasant Hill,94523,CA,2,444000,KELLER WILLIAMS,695.0,460001,https://www.zillow.com/homedetails/99-Cleaveland-Rd-Pleasant-Hill-CA-94523/18390943_zpid/,1131.0,2, 1, Condo,1981,Unknown,87.41,3699.0,264932.0
1669,"385 Camelback Rd 28, Pleasant Hill, CA 94523",Pleasant Hill,94523,CA,2,364999,INTERO REAL ESTATE SERVICES,393.0,373347,https://www.zillow.com/homedetails/385-Camelback-Rd-28-Pleasant-Hill-CA-94523/18393284_zpid/,801.0,1, 1, Condo,1973,Unknown,87.41,2071.0,116402.0
1673,"25 Janin Pl, Pleasant Hill, CA 94523",Pleasant Hill,94523,CA,2,580000,BLVD REAL ESTATE,420.0,580454,https://www.zillow.com/homedetails/25-Janin-Pl-Pleasant-Hill-CA-94523/18394662_zpid/,1352.0,2, 2, Townhouse,1972,Unknown,94.13,5165.0,389356.0
1686,"461 Burgess Dr APT 3, Menlo Park, CA 94025",Menlo Park,94025,CA,2,999000,COMPASS,545.0,987135,https://www.zillow.com/homedetails/461-Burgess-Dr-APT-3-Menlo-Park-CA-94025/15634619_zpid/,1145.0,2, 1, Condo,1968, Individual Electric Meters,86.21,15598.0,1196460.0
1696,"610 Gilbert Ave APT 18, Menlo Park, CA 94025",Menlo Park,94025,CA,2,855000,ABORN PROPERTIES,460.0,850217,https://www.zillow.com/homedetails/610-Gilbert-Ave-APT-18-Menlo-Park-CA-94025/15634928_zpid/,875.0,1, 0, Condo,1973, Individual Electric Meters,87.41,4676.0,205730.0
1697,"2158 Sand Hill Rd, Menlo Park, CA 94025",Menlo Park,94025,CA,3,1795000,GOLDEN GATE SOTHEBY'S,825.0,1776171,https://www.zillow.com/homedetails/2158-Sand-Hill-Rd-Menlo-Park-CA-94025/15600104_zpid/,1890.0,3, 0, Townhouse,1971, Public Utilities,93.41,18081.0,1438313.0
1703,"675 Sharon Park Dr APT 323, Menlo Park, CA 94025",Menlo Park,94025,CA,2,949000,COMPASS,49.0,984031,https://www.zillow.com/homedetails/675-Sharon-Park-Dr-APT-323-Menlo-Park-CA-94025/15635093_zpid/,986.0,2, 0, Condo,1968," Individual Electric Meters, Public Utilities, Individual Gas Meters",82.99,4291.0,242158.0
1705,"5 Brent Ct, Menlo Park, CA 94025",Menlo Park,94025,CA,4,3675000,PARC AGENCY CORPORATION,74.0,3575963,https://www.zillow.com/homedetails/5-Brent-Ct-Menlo-Park-CA-94025/15599456_zpid/,4500.0,5, 0, Single Family,1975, Public Utilities,94.19,19067.0,1522597.0
1711,"2140 Santa Cruz Ave APT E110, Menlo Park, CA 94025",Menlo Park,94025,CA,2,935000,COMPASS,60.0,916560,https://www.zillow.com/homedetails/2140-Santa-Cruz-Ave-APT-E110-Menlo-Park-CA-94025/15635697_zpid/,945.0,2, 0, Condo,1978, Public Utilities,94.21,11958.0,902700.0
1712,"3421 El Camino Real APT 28E, Atherton, CA 94027",Atherton,94027,CA,3,1495000,COMPASS,46.0,1481168,https://www.zillow.com/homedetails/3421-El-Camino-Real-APT-28E-Atherton-CA-94027/15638046_zpid/,2072.0,4, 2, Condo,1991, Public Utilities,86.99,11869.0,953486.0
1713,"1100 Sharon Park Dr APT 9, Menlo Park, CA 94025",Menlo Park,94025,CA,2,1299000,COMPASS,440.0,1285374,https://www.zillow.com/homedetails/1100-Sharon-Park-Dr-APT-9-Menlo-Park-CA-94025/15634528_zpid/,1185.0,2, 0, Condo,1965, Public Utilities,87.41,12369.0,938910.0
1714,"4895 Landmark Way, Dublin, CA 94568",Dublin,94568,CA,5,1399999,RE/MAX,79.0,1432082,https://www.zillow.com/homedetails/4895-Landmark-Way-Dublin-CA-94568/58879436_zpid/,2690.0,3, 2, Single Family,2002,Unknown,83.45,12202.0,896844.0
1715,"5880 Hillbrook Pl, Dublin, CA 94568",Dublin,94568,CA,4,999950,LEGACY REAL ESTATE & ASSOC.,194.0,1019421,https://www.zillow.com/homedetails/5880-Hillbrook-Pl-Dublin-CA-94568/89034167_zpid/,2149.0,3, 2, Single Family,2008,Unknown,92.25,9712.0,705830.0
1716,"3320 Oak Bluff Ln, Dublin, CA 94568",Dublin,94568,CA,5,1569000,COMPASS,86.0,1592042,https://www.zillow.com/homedetails/3320-Oak-Bluff-Ln-Dublin-CA-94568/53049574_zpid/,3411.0,4, 3, Single Family,2000,Unknown,81.05,14680.0,1102450.0
1718,"7782 Tuscany Dr, Dublin, CA 94568",Dublin,94568,CA,3,685000,COMPASS,375.0,693353,https://www.zillow.com/homedetails/7782-Tuscany-Dr-Dublin-CA-94568/25072523_zpid/,1260.0,2, 1, Condo,1992,Unknown,81.81,8022.0,594713.0
1721,"2816 Stringham Way, Dublin, CA 94568",Dublin,94568,CA,4,1050000,COMPASS,117.0,1057364,https://www.zillow.com/homedetails/2816-Stringham-Way-Dublin-CA-94568/241576382_zpid/,2298.0,4, 2, Single Family,2017,Unknown,87.41,11829.0,867000.0
1723,"8123 Brittany Dr, Dublin, CA 94568",Dublin,94568,CA,4,1350000,COLDWELL BANKER,22.0,1376999,https://www.zillow.com/homedetails/8123-Brittany-Dr-Dublin-CA-94568/25070952_zpid/,2329.0,3, 3, Single Family,1988,Unknown,81.01,16690.0,1265000.0
1724,"6086 Hillbrook Pl, Dublin, CA 94568",Dublin,94568,CA,3,875000,DUDUM REAL ESTATE GROUP,184.0,885670,https://www.zillow.com/homedetails/6086-Hillbrook-Pl-Dublin-CA-94568/79541084_zpid/,1692.0,4, 2, Single Family,2006,Unknown,90.65,10046.0,732597.0
1725,"3179 Alexa Cruz Ter, Dublin, CA 94568",Dublin,94568,CA,4,1149000,REDFIN,230.0,1161768,https://www.zillow.com/homedetails/3179-Alexa-Cruz-Ter-Dublin-CA-94568/119587406_zpid/,2939.0,5, 2, Single Family,2014,Unknown,93.85,12565.0,932965.0
1726,"4269 Oak Knoll Dr, Dublin, CA 94568",Dublin,94568,CA,4,1485000,RELIANCE BAY REALTY,235.0,1505299,https://www.zillow.com/homedetails/4269-Oak-Knoll-Dr-Dublin-CA-94568/241573249_zpid/,2944.0,3, 2, Single Family,2017," Individual Electric Meters, Individual Gas Meters, Solar Panels - Owned",87.41,16622.0,1252560.0
1727,"4684 Rimini Ct, Dublin, CA 94568",Dublin,94568,CA,2,675000,KELLER WILLIAMS,370.0,680037,https://www.zillow.com/homedetails/4684-Rimini-Ct-Dublin-CA-94568/82849155_zpid/,1303.0,2, 2, Condo,2007,Unknown,94.65,1684.0,72746.0
1728,"7323 Starward Dr APT 18, Dublin, CA 94568",Dublin,94568,CA,1,367500,"ALLIANCE RLTY & LOANS, INC",315.0,369524,https://www.zillow.com/homedetails/7323-Starward-Dr-APT-18-Dublin-CA-94568/79538636_zpid/,669.0,1, 1, Condo,1970,Unknown,79.41,1826.0,106347.0
1730,"6639 Donlon Way, Dublin, CA 94568",Dublin,94568,CA,4,1325000,COMPASS,145.0,1341158,https://www.zillow.com/homedetails/6639-Donlon-Way-Dublin-CA-94568/241574333_zpid/,3133.0,4, 3, Single Family,2016,Unknown,87.41,17028.0,1285102.0
1731,"6294 Kerry Ct, Dublin, CA 94568",Dublin,94568,CA,3,800000,BENSON-RUBINO REAL ESTATE,138.0,806990,https://www.zillow.com/homedetails/6294-Kerry-Ct-Dublin-CA-94568/64961973_zpid/,1791.0,3, 2, Townhouse,2003,Unknown,86.61,9866.0,718450.0
1732,"7225 Cronin Cir, Dublin, CA 94568",Dublin,94568,CA,2,579000,ASANTE REALTY,400.0,589002,https://www.zillow.com/homedetails/7225-Cronin-Cir-Dublin-CA-94568/25070649_zpid/,906.0,2, 1, Condo,1991,Unknown,81.01,7157.0,540600.0
1734,"7423 Brigadoon Way, Dublin, CA 94568",Dublin,94568,CA,2,624950,BERKSHIRE HATHAWAY,325.0,627618,https://www.zillow.com/homedetails/7423-Brigadoon-Way-Dublin-CA-94568/25073529_zpid/,1103.0,2, 2, Condo,1996,Unknown,91.41,8674.0,625000.0
1735,"2156 Donnells Ln, Dublin, CA 94568",Dublin,94568,CA,3,998000,REDFIN,70.0,1005128,https://www.zillow.com/homedetails/2156-Donnells-Ln-Dublin-CA-94568/241576150_zpid/,2043.0,3, 2, Single Family,2018,Unknown,82.65,12638.0,906780.0
1736,"3635 Whitworth Dr, Dublin, CA 94568",Dublin,94568,CA,3,833888,DUDUM REAL ESTATE GROUP,250.0,838833,https://www.zillow.com/homedetails/3635-Whitworth-Dr-Dublin-CA-94568/63084774_zpid/,1979.0,4, 2, Condo,2003,Unknown,87.41,9110.0,660833.0
1738,"5501 De Marcus Blvd APT 304, Dublin, CA 94568",Dublin,94568,CA,3,650000,RE/MAX,375.0,653568,https://www.zillow.com/homedetails/5501-De-Marcus-Blvd-APT-304-Dublin-CA-94568/79535890_zpid/,1088.0,2, 2, Condo,2007,Unknown,91.45,6190.0,456043.0
1739,"3275 Dublin Blvd APT 415, Dublin, CA 94568",Dublin,94568,CA,2,595000,BQ GROUP INC,375.0,608227,https://www.zillow.com/homedetails/3275-Dublin-Blvd-APT-415-Dublin-CA-94568/153089318_zpid/,1066.0,2,0, Condo,2004, Natural Gas,87.41,6163.0,452450.0
1740,"6630 S Mariposa Ln, Dublin, CA 94568",Dublin,94568,CA,4,850000,COMPASS,235.0,840340,https://www.zillow.com/homedetails/6630-S-Mariposa-Ln-Dublin-CA-94568/119591899_zpid/,2002.0,4, 2, Condo,2013,Unknown,88.21,9967.0,730992.0
1741,"7387 Dalmally Ln, Dublin, CA 94568",Dublin,94568,CA,2,625000,LYON REAL ESTATE,325.0,629570,https://www.zillow.com/homedetails/7387-Dalmally-Ln-Dublin-CA-94568/25073508_zpid/,1103.0,2, 1, Condo,1996," Natural Gas Connected, Cable Connected",91.41,4810.0,322397.0
1742,"4293 Panorama Dr, Dublin, CA 94568",Dublin,94568,CA,3,1075000,EXP REALTY,130.0,1064238,https://www.zillow.com/homedetails/4293-Panorama-Dr-Dublin-CA-94568/241576140_zpid/,2043.0,3, 2, Single Family,2018,Unknown,82.65,12611.0,897600.0
1743,"7330 Carneros Ln, Dublin, CA 94568",Dublin,94568,CA,4,1070000,CALIFORNIA WIDE PROPERTIES,232.0,1076838,https://www.zillow.com/homedetails/7330-Carneros-Ln-Dublin-CA-94568/163651464_zpid/,2210.0,4,0, Single Family,2017, Public Utilities,87.41,12445.0,917796.0
1744,"5501 De Marcus Blvd APT 220, Dublin, CA 94568",Dublin,94568,CA,3,699000,COMPASS,398.0,704178,https://www.zillow.com/homedetails/5501-De-Marcus-Blvd-APT-220-Dublin-CA-94568/79543120_zpid/,1234.0,2, 2, Condo,2007,Unknown,91.45,4868.0,350173.0
1745,"6532 Bantry Bay St, Dublin, CA 94568",Dublin,94568,CA,4,899000,SUNRISE REALTY & FINANCING INC,262.0,908268,https://www.zillow.com/homedetails/6532-Bantry-Bay-St-Dublin-CA-94568/122160021_zpid/,2244.0,4, 2, Townhouse,2013,Unknown,87.41,11722.0,878673.0
1746,"5338 Campus Dr, Dublin, CA 94568",Dublin,94568,CA,4,838000,KELLER WILLIAMS,189.0,843990,https://www.zillow.com/homedetails/5338-Campus-Dr-Dublin-CA-94568/153093937_zpid/,1753.0,3, 2, Townhouse,2015,Unknown,89.05,11412.0,846600.0
1747,"6979 Dublin Meadows St APT G, Dublin, CA 94568",Dublin,94568,CA,2,558000,J ROCKCLIFF REALTORS.,325.0,551323,https://www.zillow.com/homedetails/6979-Dublin-Meadows-St-APT-G-Dublin-CA-94568/25070176_zpid/,1007.0,2, 1, Condo,1992,Unknown,72.21,7232.0,539580.0
1748,"208 Bristol Ct, Danville, CA 94506",Danville,94506,CA,5,1499000,BETTER HOMES,225.0,1499014,https://www.zillow.com/homedetails/208-Bristol-Ct-Danville-CA-94506/18461691_zpid/,2935.0,3, 3, Single Family,1992,Unknown,76.98,10959.0,900783.0
1751,"135 Shelterwood Ln, Danville, CA 94506",Danville,94506,CA,4,1525000,BETTER HOMES,160.0,1525203,https://www.zillow.com/homedetails/135-Shelterwood-Ln-Danville-CA-94506/18437388_zpid/,2876.0,4, 3, Single Family,1998,Unknown,79.41,17054.0,1455000.0
1752,"378 Inman Ct, Danville, CA 94526",Danville,94526,CA,4,1099000,J ROCKCLIFF REALTORS,270.0,1099010,https://www.zillow.com/homedetails/378-Inman-Ct-Danville-CA-94526/50918383_zpid/,2255.0,4, 2, Single Family,1999,Unknown,84.1,12083.0,730931.0
1754,"1918 Casablanca St, Danville, CA 94506",Danville,94506,CA,4,1548800,VENTURE SOTHEBY'S INTL RLTY,100.0,1548815,https://www.zillow.com/homedetails/1918-Casablanca-St-Danville-CA-94506/68036393_zpid/,4074.0,4, 3, Single Family,2004,Unknown,85.81,16582.0,1353146.0
1756,"127 Saint Charles Ct, Danville, CA 94526",Danville,94526,CA,3,1099000,THE AGENCY,85.0,1135633,https://www.zillow.com/homedetails/127-Saint-Charles-Ct-Danville-CA-94526/18457102_zpid/,1682.0,2, 3, Single Family,1970,Unknown,71.33,6348.0,482729.0
1758,"121 Westfield Cir, Danville, CA 94526",Danville,94526,CA,3,699950,FOHL AND HERNANDEZ RE,440.0,699955,https://www.zillow.com/homedetails/121-Westfield-Cir-Danville-CA-94526/18439492_zpid/,1788.0,3, 2, Townhouse,1973,Unknown,81.74,7553.0,594275.0
1760,"434 Winfield Ln, Danville, CA 94526",Danville,94526,CA,3,1025000,THE AGENCY,270.0,1004879,https://www.zillow.com/homedetails/434-Winfield-Ln-Danville-CA-94526/50918378_zpid/,1821.0,3, 2, Single Family,1999,Unknown,92.1,11065.0,918790.0
1764,"160 Elworthy Ranch Dr, Danville, CA 94526",Danville,94526,CA,3,998000,DUDUM REAL ESTATE GROUP,185.0,998007,https://www.zillow.com/homedetails/160-Elworthy-Ranch-Dr-Danville-CA-94526/119675686_zpid/,1752.0,3, 2, Single Family,2013,Unknown,90.53,12955.0,939061.0
1765,"437 Sycamore Cir, Danville, CA 94526",Danville,94526,CA,2,585000,COMPASS,455.0,590940,https://www.zillow.com/homedetails/437-Sycamore-Cir-Danville-CA-94526/18438053_zpid/,1176.0,2, 1, Townhouse,1972,Unknown,86.54,5092.0,373627.0
1768,"700 Blue Spruce Dr, Danville, CA 94506",Danville,94506,CA,4,1698000,REALTY ONE,189.0,1722782,https://www.zillow.com/homedetails/700-Blue-Spruce-Dr-Danville-CA-94506/18435048_zpid/,3534.0,3, 2, Single Family,1986,Unknown,85.78,19437.0,1644871.0
1769,"519 Honey Lake Ct, Danville, CA 94506",Danville,94506,CA,4,1350000,COMPASS,95.0,1351017,https://www.zillow.com/homedetails/519-Honey-Lake-Ct-Danville-CA-94506/18461480_zpid/,3278.0,3, 3, Single Family,1991,Unknown,76.98,8719.0,699944.0
1771,"341 Sequoia Ter, Danville, CA 94506",Danville,94506,CA,3,1628000,INTERO REAL ESTATE SERVICES,189.0,1539693,https://www.zillow.com/homedetails/341-Sequoia-Ter-Danville-CA-94506/18435647_zpid/,3140.0,3, 3, Single Family,1984,Unknown,79.38,10820.0,879186.0
1772,"411 Kingswood Ln, Danville, CA 94506",Danville,94506,CA,5,3690000,KELLER WILLIAMS,189.0,4101187,https://www.zillow.com/homedetails/411-Kingswood-Ln-Danville-CA-94506/18461369_zpid/,6641.0,5, 4, Single Family,1992,Unknown,87.41,42303.0,3693420.0
1773,"615 Glasgow Cir, Danville, CA 94526",Danville,94526,CA,4,1279950,THE AGENCY,135.0,1280891,https://www.zillow.com/homedetails/615-Glasgow-Cir-Danville-CA-94526/18433800_zpid/,2813.0,3, 2, Single Family,1995,Unknown,79.34,13530.0,1114267.0
1774,"442 Winfield Ln, Danville, CA 94526",Danville,94526,CA,2,685000,RE/MAX,270.0,685004,https://www.zillow.com/homedetails/442-Winfield-Ln-Danville-CA-94526/50918380_zpid/,1080.0,2, 1, Townhouse,1999,Unknown,94.5,4862.0,355562.0
1775,"394 Squirrel Ridge Way, Danville, CA 94506",Danville,94506,CA,3,909999,J ROCKCLIFF REALTORS.,55.0,823004,https://www.zillow.com/homedetails/394-Squirrel-Ridge-Way-Danville-CA-94506/18436001_zpid/,1303.0,3, 2, Single Family,1998,Unknown,82.57,5342.0,387860.0
1776,"312 Jacaranda Dr, Danville, CA 94506",Danville,94506,CA,3,1145000,REDFIN,283.0,1157445,https://www.zillow.com/homedetails/312-Jacaranda-Dr-Danville-CA-94506/18434889_zpid/,1825.0,2, 2, Single Family,1981,Unknown,79.38,13305.0,1095064.0
1778,"510 Messian Pl, Danville, CA 94526",Danville,94526,CA,6,1775000,"BLACK BOOK INTERNATIONAL, INC",55.0,1803025,https://www.zillow.com/homedetails/510-Messian-Pl-Danville-CA-94526/18438976_zpid/,3519.0,4, 2, Single Family,1998,Unknown,73.74,11777.0,957080.0
1779,"3130 Blackhawk Meadow Dr, Danville, CA 94506",Danville,94506,CA,6,12500000,EXP REALTY,190.0,12497961,https://www.zillow.com/homedetails/3130-Blackhawk-Meadow-Dr-Danville-CA-94506/18460345_zpid/,9400.0,9, 12, Single Family,1987,Unknown,87.41,110844.0,9788730.0
