,Address,City,ZipCode,State,Bedrooms,Price,Listing-Company,HOA,Zestimate,Link,Living-Area,Total-Bathrooms,Full-Bathrooms,Half-Bathrooms,Garage-Spaces,Stories,Fireplace,Lot-Size,Home-Type,New-Contruction,Year-Built,Utilities,Sunscore,Annual-Tax,Tax-Value
41,"4655 Green Valley Ln, Fairfield, CA 94534",Fairfield,94534,CA,3,1998000,Sotheby's International Realty,Not_Found,1158890,https://www.zillow.com/homedetails/4655-Green-Valley-Ln-Fairfield-CA-94534/15721646_zpid/,"4,936",3, 3,Not_Found, 0, 2, Yes,2.41, Single Family, No,1960,Not_Found,Not_Found," $8,359"," $711,197"
42,"4118 Rowland Dr, Fairfield, CA 94533",Fairfield,94533,CA,5,665000,KW Vaca Valley, $41/mo,665002,https://www.zillow.com/homedetails/4118-Rowland-Dr-Fairfield-CA-94533/15729799_zpid/,"2,647",3, 3,Not_Found, 0, 1, Yes,"10,018", Single Family, No,1998,Not_Found,Not_Found," $7,155"," $576,077"
43,"2991 Candleberry Way, Fairfield, CA 94533",Fairfield,94533,CA,4,575000,Coldwell Banker Kappel Gateway,Not_Found,523365,https://www.zillow.com/homedetails/2991-Candleberry-Way-Fairfield-CA-94533/15732509_zpid/,"2,261",3, 3,Not_Found, 0, 2, Yes,"7,405", Single Family, No,1990,Not_Found,Not_Found," $3,564"," $323,031"
44,"3269 Inwood Pl, Fairfield, CA 94534",Fairfield,94534,CA,2,510000,Better Homes and Gardens RP, $185/mo,480694,https://www.zillow.com/homedetails/3269-Inwood-Pl-Fairfield-CA-94534/63156978_zpid/,"1,409",2, 2,Not_Found, 0, 2, Yes,"2,178", Single Family, No,2005,Not_Found,90.98," $1,068"," $118,479"
45,"569 Silverado Cir, Fairfield, CA 94534",Fairfield,94534,CA,3,450000,Compass,Not_Found,454054,https://www.zillow.com/homedetails/569-Silverado-Cir-Fairfield-CA-94534/15740256_zpid/,"1,240",2, 2,Not_Found, 0, 1,Not_Found,"6,969", Single Family, No,1982,Not_Found,Not_Found," $3,915"," $354,457"
46,"725 San Marco St, Fairfield, CA 94533",Fairfield,94533,CA,3,370000,KW Vaca Valley,Not_Found,391509,https://www.zillow.com/homedetails/725-San-Marco-St-Fairfield-CA-94533/15649536_zpid/,"1,280",2, 2,Not_Found, 2, 1, Yes,"6,969", Single Family, No,1964,Not_Found,Not_Found," $3,294"," $291,831"
47,"2103 Larchmont Cir, Fairfield, CA 94534",Fairfield,94534,CA,4,575000,Level Up Realty,Not_Found,575003,https://www.zillow.com/homedetails/2103-Larchmont-Cir-Fairfield-CA-94534/15723012_zpid/,"2,077",3, 2, 1, 0, 1, Yes,"10,018", Single Family, No,1986,Not_Found,Not_Found," $6,034"," $537,000"
48,"4109 Cedar Creek Ct, Fairfield, CA 94534",Fairfield,94534,CA,3,526000,NextHome Premier Prop, $40/mo,526072,https://www.zillow.com/homedetails/4109-Cedar-Creek-Ct-Fairfield-CA-94534/54659113_zpid/,"1,783",2, 2,Not_Found, 0, 2, Yes,"5,227", Single Family, No,2001,Not_Found,Not_Found," $4,001"," $323,230"
49,"2740 Vista Grande, Fairfield, CA 94534",Fairfield,94534,CA,4,530000,High Priority Realty,Not_Found,530003,https://www.zillow.com/homedetails/2740-Vista-Grande-Fairfield-CA-94534/15726620_zpid/,"1,924",3, 2, 1, 0, 1, Yes,"8,276", Single Family, No,1977,Not_Found,Not_Found," $4,403"," $391,090"
50,"1111 Mockingbird Ln, Fairfield, CA 94533",Fairfield,94533,CA,3,399000,Warring & Associates,Not_Found,402373,https://www.zillow.com/homedetails/1111-Mockingbird-Ln-Fairfield-CA-94533/15733440_zpid/,"1,256",2, 2,Not_Found, 2, 2, Yes,"6,534", Single Family, No,1969,Not_Found,Not_Found," $3,346"," $296,514"
